Date,Price,Open,High,Low,Change %
2022-01-01,15.71,15.71,15.71,15.71,0.0
2022-01-02,15.71,15.71,15.75,15.69,0.0
2022-01-03,15.7488,15.71,15.75,15.69,0.25
2022-01-04,15.73,15.71,15.75,15.69,-0.12
2022-01-05,15.715,15.73,15.75,15.69,-0.1
2022-01-06,15.715,15.715,15.715,15.715,0.0
2022-01-07,15.715,15.715,15.715,15.715,0.0
2022-01-08,15.715,15.715,15.715,15.715,0.0
2022-01-09,15.705,15.71,15.75,15.69,-0.06
2022-01-10,15.73,15.69,15.75,15.69,0.16
2022-01-11,15.71,15.72,15.75,15.6883,-0.13
2022-01-12,15.72,15.705,15.754,15.69,0.06
2022-01-13,15.69,15.7,15.7495,15.67,-0.19
2022-01-14,15.69,15.69,15.69,15.69,0.0
2022-01-15,15.69,15.69,15.69,15.69,0.0
2022-01-16,15.6833,15.69,15.7438,15.68,-0.04
2022-01-17,15.715,15.69,15.7453,15.6823,0.2
2022-01-18,15.74,15.71,15.7525,15.687,0.16
2022-01-19,15.71,15.71,15.75,15.69,-0.19
2022-01-20,15.74,15.725,15.75,15.69,0.19
2022-01-21,15.715,15.715,15.715,15.715,-0.16
2022-01-22,15.715,15.715,15.715,15.715,0.0
2022-01-23,15.71,15.69,15.7475,15.69,-0.03
2022-01-24,15.71,15.69,15.7503,15.69,0.0
2022-01-25,15.74,15.69,15.75,15.69,0.19
2022-01-26,15.74,15.69,15.75,15.69,0.0
2022-01-27,15.74,15.74,15.74,15.74,0.0
2022-01-28,15.74,15.74,15.74,15.74,0.0
2022-01-29,15.74,15.74,15.74,15.74,0.0
2022-01-30,15.71,15.71,15.745,15.69,-0.19
2022-01-31,15.71,15.71,15.7586,15.69,0.0
2022-02-01,15.71,15.69,15.75,15.69,0.0
2022-02-02,15.7085,15.71,15.75,15.69,-0.01
2022-02-03,15.735,15.69,15.75,15.6898,0.17
2022-02-04,15.735,15.735,15.735,15.735,0.0
2022-02-05,15.735,15.735,15.735,15.735,0.0
2022-02-06,15.71,15.71,15.745,15.6838,-0.16
2022-02-07,15.71,15.71,15.7475,15.69,0.0
