Date,inflation_rate
2022-01-01,7.259
2022-02-01,8.819
2022-03-01,10.491
2022-04-01,13.111
2022-05-01,13.529
2022-06-01,13.155
2022-07-01,13.64
2022-08-01,14.56
2022-09-01,15.021
2022-10-01,16.243
2022-11-01,18.724
2022-12-01,21.269
2023-01-01,25.834
2023-02-01,31.932
2023-03-01,32.665
2023-04-01,30.596
2023-05-01,32.75
2023-06-01,35.71
2023-07-01,36.46
2023-08-01,37.415
2023-09-01,38.0
2023-10-01,35.8
2023-11-01,34.55
2023-12-01,33.7
2024-01-01,29.8
2024-02-01,35.71
2024-03-01,33.34
2024-04-01,32.54
2024-05-01,28.15
2024-06-01,27.513
2024-07-01,25.673
2024-08-01,26.249
2024-09-01,26.397
2024-10-01,26.531
2024-11-01,25.54
2024-12-01,24.06
2025-01-01,23.95
2025-02-01,12.84
2025-03-01,13.62
2025-04-01,13.9
2025-05-01,16.8
2025-06-01,14.9
2025-07-01,13.9
2025-08-01,12.0
2025-09-01,11.7
2025-10-01,12.5
2025-11-01,12.3
2025-12-01,12.3
2026-01-01,11.9
